"stock","sex","genotype.x","video.name","test.temp","run","id.ind","acclim.temp","date.exp","age","test.oxygen","acclim.oxygen","acclim.time","surv.time","video.time","genotype.y","ws","fw","cell.area","cell.number","iod","wing.area.z","fresh.mass.z","cell.area.z","cell.number.z","iod.z"
"25180","female","DGRP-313","20190716-38-RUN 5",38,"5","34",25,"20190716","8",10,10,8,1.44482519950975,1.67531998333929,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190717-39-RUN 2",39,"2","39",25,"20190717","6",21,21,6,0.978484857862204,1.6234215952928,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190717-39-RUN 2",39,"2","32",25,"20190717","6",21,21,6,0.912930241739325,1.6234215952928,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190716-38-RUN 5",38,"5","32",25,"20190716","8",10,10,8,1.51432634328414,1.67531998333929,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190717-39-RUN 3",39,"3","11",25,"20190717","6",21,21,6,0.779355951522014,1.50763102339575,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20180807-36-RUN 2",36,"2","15",25,"20180807","6",21,21,6,2.3600250891894,2.37978880558112,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190717-39-RUN 2",39,"2","37",25,"20190717","6",21,21,6,0.963000348468141,1.6234215952928,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190717-38-RUN 6",38,"6","7",25,"20190717","6",21,21,6,1.20951501454263,1.7471527595746,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190717-39-RUN 2",39,"2","38",25,"20190717","6",21,21,6,1.07978401433579,1.6234215952928,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190716-39-RUN 11",39,"11","39",25,"20190716","8",10,10,8,1.03542973818455,1.49392253711637,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20180807-36-RUN 2",36,"2","16",25,"20180807","6",21,21,6,2.23838069057362,2.37978880558112,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190717-39-RUN 2",39,"2","36",25,"20190717","6",21,21,6,0.978484857862204,1.6234215952928,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190717-39-RUN 3",39,"3","10",25,"20190717","6",21,21,6,1.02187810886049,1.50763102339575,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190716-39-RUN 11",39,"11","40",25,"20190716","8",10,10,8,0.741676743392075,1.49392253711637,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190713-36-RUN 2",36,"2","31",25,"20190713","6",10,10,6,1.98907884772707,2.18615553192029,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190713-36-RUN 2",36,"2","32",25,"20190713","6",10,10,6,2.1818912053432,2.18615553192029,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","female","DGRP-313","20190716-38-RUN 5",38,"5","35",25,"20190716","8",10,10,8,1.44482519950975,1.67531998333929,"DGRP-313",871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
