"stock","genotype","sex","video.name","test.temp","run","id.ind","acclim.temp","date.exp","age","test.oxygen","acclim.oxygen","acclim.time","surv.time","video.time","ws","fw","cell.area","cell.number","iod","wing.area.z","fresh.mass.z","cell.area.z","cell.number.z","iod.z"
"25180","DGRP-313","female","20190717-39-RUN 3",39,"3","6",25,"20190717",6,21,21,6,0.76715586608218,1.50763102339575,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20190717-38-RUN 6",38,"6","4",25,"20190717",6,21,21,6,1.45280830536493,1.7471527595746,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20190717-39-RUN 3",39,"3","9",25,"20190717",6,21,21,6,0.970811610872518,1.50763102339575,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20190717-39-RUN 2",39,"2","37",25,"20190717",6,21,21,6,0.963000348468141,1.6234215952928,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20190717-39-RUN 3",39,"3","3",25,"20190717",6,21,21,6,0.502882116864084,1.50763102339575,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20180807-36-RUN 2",36,"2","20",25,"20180807",6,21,21,6,2.30413133952879,2.37978880558112,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20180807-36-RUN 2",36,"2","11",25,"20180807",6,21,21,6,2.32311453460769,2.37978880558112,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20181210-36-RUN 1",36,"1","34",25,"20181210",4,21,21,5,2.38168654068746,2.40537482263808,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20190717-39-RUN 2",39,"2","40",25,"20190717",6,21,21,6,0.885549675006005,1.6234215952928,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20180807-36-RUN 2",36,"2","14",25,"20180807",6,21,21,6,2.37706328911394,2.37978880558112,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20190717-39-RUN 2",39,"2","31",25,"20190717",6,21,21,6,0.970811610872518,1.6234215952928,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20190717-39-RUN 3",39,"3","5",25,"20190717",6,21,21,6,0.912930241739325,1.50763102339575,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20190717-39-RUN 2",39,"2","38",25,"20190717",6,21,21,6,1.07978401433579,1.6234215952928,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20181210-36-RUN 1",36,"1","33",25,"20181210",4,21,21,5,2.32527614699912,2.40537482263808,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20180808-37-RUN 1",37,"1","40",25,"20180808",7,21,21,7,1.99934806920672,2.1095223020708,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20190717-39-RUN 2",39,"2","33",25,"20190717",6,21,21,6,1.03542973818455,1.6234215952928,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20190717-38-RUN 6",38,"6","2",25,"20190717",6,21,21,6,1.26403034413212,1.7471527595746,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
"25180","DGRP-313","female","20180807-36-RUN 2",36,"2","19",25,"20180807",6,21,21,6,2.31337502224745,2.37978880558112,871540.688333333,1.095,151.383865384615,5793.65375082524,426.652166666667,-2.04137174708994,-0.396172372106765,-1.06647021391165,-1.15045897248522,-1.81579674013847
