"stock","genotype","sex","age","plate","well","ws","fw","trichomes","area","iod","cell.area","cell.number"
"25180","DGRP-313","male",5,"25180","A5",675884.823,0.61,64,7847.265,399.578666666667,122.613515625,5512.31909104637
"25198","DGRP-555","male",5,"25198","A5",810802.067666667,0.66,58,7867.144,440.002666666667,135.640413793103,5977.5847403666
"25201","DGRP-712","male",5,"25201","A5",905354.112,0.86,50,7847.265,457.574,156.9453,5768.596523757
"28135","DGRP-88","male",5,"28135","A5",793094.917666667,0.67,53,7860.509,408.253666666667,148.311490566038,5347.49475337199
"28191","DGRP-385","male",5,"28191","A5",902006.042,0.78,55,7860.509,446.700666666667,142.918345454545,6311.33840187703
"28196","DGRP-426","male",5,"28196","A5",867018.719666667,0.85,47,7849.739,440.158333333333,167.015723404255,5191.24009401247
"28247","DGRP-843","male",5,"28247","A5",795667.462666667,0.95,51,7889.68,469.409,154.699607843137,5143.30626793482
"28248","DGRP-849","male",5,"28248","A5",855315.910333333,0.82,56,7860.509,427.279666666667,140.366232142857,6093.45921220454
"25198","DGRP-555","male",5,"25198","A6",865583.326333333,0.7,60,7860.509,418.148,131.008483333333,6607.07844492004
"25201","DGRP-712","male",5,"25201","A6",873930.553333333,0.77,53,7847.265,439.465666666667,148.061603773585,5902.47931306852
"28135","DGRP-88","male",5,"28135","A6",666123.186333333,0.59,54,7860.509,359.854666666667,145.564981481481,4576.12249562974
"28196","DGRP-426","male",5,"28196","A6",863518.494,0.93,48,7823.531,423.292,162.990229166667,5297.97705307233
"28197","DGRP-440","male",5,"28197","A6",897371.600333333,0.84,51,7810.121,429.704,153.13962745098,5859.8261943701
"28247","DGRP-843","male",5,"28247","A6",805977.508333333,0.81,52,7860.509,475.175666666667,151.163634615385,5331.82144226708
"28248","DGRP-849","male",5,"28248","A6",953489.344666667,0.92,54,7887.711,426.911333333333,146.068722222222,6527.67635781788
"25180","DGRP-313","male",5,"25180","A7",641826.26,0.65,65,7847.265,395.640333333333,120.727153846154,5316.33720793168
"25190","DGRP-380","male",5,"25190","A7",804134.961666667,0.55,63,7814.3,444.759333333333,124.036507936508,6483.05063601346
"25198","DGRP-555","male",5,"25198","A7",846673.720666667,0.57,57,7867.144,400.111333333333,138.020070175439,6134.42464991107
"25201","DGRP-712","male",5,"25201","A7",877209.518,0.8,53,7847.265,450.265666666667,148.061603773585,5924.6252616676
"28135","DGRP-88","male",5,"28135","A7",730208.552333333,0.69,52,7860.509,412.956333333333,151.163634615385,4830.58345475253
"28191","DGRP-385","male",5,"28191","A7",937576.204666667,0.79,57,7871.961,459.842666666667,138.104578947368,6788.88572567877
"28197","DGRP-440","male",5,"28197","A7",913723.583666667,0.88,52,7836.253,432.640333333333,150.697173076923,6063.30938404703
"28247","DGRP-843","male",5,"28247","A7",829210.095666667,0.82,55,7889.68,457.339,143.448727272727,5780.53295718796
"28248","DGRP-849","male",5,"28248","A7",930369.531666667,0.93,54,7887.711,441.122333333333,146.068722222222,6369.39597685564
"25180","DGRP-313","male",5,"25180","A8",667888.667666667,0.66,61,7847.265,390.099333333333,128.64368852459,5191.77174820357
"25198","DGRP-555","male",5,"25198","A8",868126.054333333,0.84,57,7867.144,437.957666666667,138.020070175439,6289.85373815453
"28135","DGRP-88","male",5,"28135","A8",768701.856333333,0.81,55,7887.462,426.402333333333,143.4084,5360.22894288852
"28191","DGRP-385","male",5,"28191","A8",935953.706,0.76,57,7871.961,451.947,138.104578947368,6777.13739206787
"28197","DGRP-440","male",5,"28197","A8",924107.185333333,0.96,50,7836.253,434.922666666667,156.72506,5896.35879120629
"28248","DGRP-849","male",5,"28248","A8",916033.433,0.76,59,7887.711,452.663333333333,133.690016949153,6851.92098785059
"25180","DGRP-313","male",5,"25180","A9",695294.553666667,0.64,62,7847.265,410.952333333333,126.568790322581,5493.41233249206
"25198","DGRP-555","male",5,"25198","A9",852925.090666667,0.82,57,7894.12,450.215333333333,138.493333333333,6158.60034658708
"25201","DGRP-712","male",5,"25201","A9",863474.998666667,0.85,50,7847.265,449.636333333333,156.9453,5501.7576102417
"28135","DGRP-88","male",5,"28135","A9",873855.379333333,0.82,52,7860.509,429.150666666667,151.163634615385,5780.85715891087
"28191","DGRP-385","male",5,"28191","A9",944902.05,0.72,58,7845.061,463.746666666667,135.259672413793,6985.83719106837
"28196","DGRP-426","male",5,"28196","A9",898695.730666667,0.92,46,7849.739,442.04,170.6465,5266.41759817322
"28197","DGRP-440","male",5,"28197","A9",808855.105,0.79,54,7836.253,442.310333333333,145.115796296296,5573.85981157066
"28197","DGRP-440","female",5,"28197","B1",1187411.47833333,1.35,49,7857.195,488.617,160.350918367347,7405.08062207102
