"stock","genotype","sex","age","plate","well","ws","fw","trichomes","area","iod","cell.area","cell.number"
"25203","DGRP-732","female",5,"25203","D9",1175770.287,1.38,44,7884.136,489.523666666667,179.184909090909,6561.77070360024
"28198","DGRP-441","female",5,"28198","D9",1113101.675,1.45,45,7849.895,523.677,174.442111111111,6380.92297731371
"25182","DGRP-324","male",5,"25182","E1",704024.784,0.65,68,7891.899,480.300333333333,116.057338235294,6066.18068883041
"25182","DGRP-324","male",5,"25182","E11",667183.102666667,0.7,70,7898.23,446.289666666667,112.831857142857,5913.07383890652
"25182","DGRP-324","male",5,"25182","E12",708669.711333333,0.76,65,7871.955,484.251,121.107,5851.59991852934
"25182","DGRP-324","male",5,"25182","E2",684033.852666667,0.68,68,7845.708,462.655333333333,115.378058823529,5928.63027547461
"25182","DGRP-324","male",5,"25182","E3",726810.585333333,0.63,67,7818.894,451.778333333333,116.699910447761,6228.03036047468
"25182","DGRP-324","male",5,"25182","E6",703639.305333333,0.76,66,7871.955,464.842,119.272045454545,5899.44863150259
"25182","DGRP-324","male",5,"25182","E7",686222.028,0.78,69,7818.894,456.363,113.317304347826,6055.75672620706
"25182","DGRP-324","male",5,"25182","E8",719492.487,0.72,67,7871.955,458.443333333333,117.491865671642,6123.76425284443
"25182","DGRP-324","male",5,"25182","E9",664467.367333333,0.72,68,7871.955,480.496666666667,115.764044117647,5739.84238714102
"25182","DGRP-324","female",5,"25182","F1",851135.017666667,1.17,57,7862.847,491.277,137.944684210526,6170.11827993092
"25182","DGRP-324","female",5,"25182","F10",897271.071666667,1.05,57,7836.69,506.541666666667,137.485789473684,6526.28228052915
"25182","DGRP-324","female",5,"25182","F11",874914.204,1.25,55,7809.911,495.001333333333,141.998381818182,6161.43784737112
"25182","DGRP-324","female",5,"25182","F12",871103.632,1.28,56,7823.399,518.394333333333,139.703553571429,6235.37204123169
"25182","DGRP-324","female",5,"25182","F2",838435.700333333,1.01,56,7868.645,489.178,140.511517857143,5967.02471882601
"25182","DGRP-324","female",5,"25182","F4",857015.448333333,1.15,55,7809.911,498.031666666667,141.998381818182,6035.38883584375
"25182","DGRP-324","female",5,"25182","F5",856293.238,1.09,56,7809.911,482.526333333333,139.462696428571,6139.94465852428
"25182","DGRP-324","female",5,"25182","F8",841536.008666667,1.21,59,7836.69,499.614,132.825254237288,6335.66269832459
"25182","DGRP-324","female",5,"25182","F9",899617.509,1.22,54,7862.847,503.578,145.608277777778,6178.34042631123
"28141","DGRP-129","male",5,"28141","G1",852282.329666667,0.76,56,7885.245,434.746333333333,140.807946428571,6052.79993980318
"28141","DGRP-129","male",5,"28141","G10",850979.685333333,0.83,56,7858.299,438.375666666667,140.326767857143,6064.27197268349
"28141","DGRP-129","male",5,"28141","G11",855196.312333333,0.75,55,7858.299,422.617666666667,142.878163636364,5985.49344817922
"28141","DGRP-129","male",5,"28141","G2",873763.044,0.75,54,7885.245,429.647333333333,146.023055555556,5983.73346370341
"28141","DGRP-129","male",5,"28141","G3",874898.127666667,0.78,56,7885.245,447.844,140.807946428571,6213.41444043062
"28141","DGRP-129","male",5,"28141","G4",850477.606333333,0.73,57,7885.245,441.066,138.337631578947,6147.83986559707
"28141","DGRP-129","male",5,"28141","G5",838010.900333333,0.67,57,7911.564,446.339666666667,138.799368421053,6037.56998224371
"28141","DGRP-129","male",5,"28141","G6",806895.785333333,0.76,58,7885.245,431.531333333333,135.9525,5935.13017659354
"28141","DGRP-129","male",5,"28141","G7",860524.601,0.74,54,7858.299,456.069,145.524055555556,5913.28078175697
"28141","DGRP-129","male",5,"28141","G9",825524.976333333,0.81,56,7858.299,424.331333333333,140.326767857143,5882.87601103835
"28141","DGRP-129","female",5,"28141","H1",1106527.248,1.11,46,7876.003,503.118666666667,171.217456521739,6462.70111984467
"28141","DGRP-129","female",5,"28141","H10",1083965.63166667,1.17,48,7929.388,472.205,165.195583333333,6561.71072975619
"28141","DGRP-129","female",5,"28141","H11",1033587.698,1.03,48,7903.009,478.651666666667,164.646020833333,6277.63545555876
"28141","DGRP-129","female",5,"28141","H12",1104376.22833333,1.18,47,7876.003,490.381333333333,167.574531914894,6590.35842567184
"28141","DGRP-129","female",5,"28141","H2",1066827.933,1.03,46,7903.009,464.727666666667,171.804543478261,6209.54435430859
"28141","DGRP-129","female",5,"28141","H3",1133231.92466667,1.12,47,7876.003,462.331,167.574531914894,6762.55461803828
"28141","DGRP-129","female",5,"28141","H4",1100620.375,1.08,46,7929.388,467.396,172.378,6384.92368515704
"28141","DGRP-129","female",5,"28141","H5",1105822.68666667,1.07,47,7903.009,491.400666666667,168.149127659574,6576.4402233799
"28141","DGRP-129","female",5,"28141","H6",1120419.14766667,1.13,47,7903.009,486.903,168.149127659574,6663.24686462249
