"stock","genotype","sex","age","plate","well","ws","fw","iod","cell.area","cell.number","fresh.mass.z","iod.z","wing.area.z","cell.number.z","cell.area.z"
"28191","DGRP-385","female",5,"28191","B8",1164194.74033333,1.24,466.587666666667,153.754039215686,7571.79938993473,0.308901843109087,-0.321303169586131,1.08966459923839,2.27060616109238,-0.901294279293241
"28197","DGRP-440","female",5,"28197","B8",1046796.71533333,1.26,473.88,163.6225625,6397.63061609143,0.406153459000929,-0.0484044884380146,-0.166349048104352,0.0115629394556289,-0.213563051983706
"28247","DGRP-843","female",5,"28247","B8",1047571.13066667,1.52,524.637333333333,160.607142857143,6522.56874775776,1.67042446559487,1.85107112411342,-0.158063761981467,0.251937786540815,-0.423705764534388
"28248","DGRP-849","female",5,"28248","B8",1053158.699,1.3,486.593,155.048235294118,6792.4584694706,0.600656690784612,0.427350084872245,-0.0982836925797665,0.771192394572306,-0.811102562482482
"25180","DGRP-313","female",5,"25180","B9",869617.576666667,1.1,429.020333333333,151.768480769231,5729.89577453141,-0.371859468133805,-1.72717358887383,-2.06194666305368,-1.27312619662096,-1.03966660795216
"28191","DGRP-385","female",5,"28191","B9",1166146.16666667,1.31,476.330666666667,151.078673076923,7718.800694476,0.649282498730533,0.0433060342022623,1.1105424471107,2.55342947235175,-1.08773887542024
"28197","DGRP-440","female",5,"28197","B9",1181258.91266667,1.31,487.274666666667,168.236553191489,7021.41651298657,0.649282498730533,0.452859880682829,1.27223013499833,1.21169645818403,0.107983079046485
"28247","DGRP-843","female",5,"28247","B9",1064075.32666667,1.46,534.394666666667,157.395,6760.54084733738,1.37866961791935,2.21621671969639,0.0185107196967329,0.70978445259919,-0.64755799508522
"28248","DGRP-849","female",5,"28248","B9",1101446.02,1.19,477.119666666667,155.048235294118,7103.89265579592,0.0657728033794821,0.0728325313580704,0.418330911197596,1.37037651807895,-0.811102562482482
"25198","DGRP-555","female",5,"25198","C10",1037014.65433333,0.99,477.014666666667,148.186471698113,6998.03863638746,-0.906743355538935,0.0689031496072967,-0.271005000494856,1.1667185684258,-1.28929458406785
"25201","DGRP-712","female",5,"25201","C10",1080374.28266667,1.12,493.102666666667,178.296840909091,6059.41348796821,-0.274607852241963,0.670959279192402,0.192889387254717,-0.639150252505118,0.809078250003911
"28135","DGRP-88","female",5,"28135","C10",908858.872666667,0.98,480.254333333333,170.784586956522,5321.66800800381,-0.955369163484856,0.190140169403346,-1.64211333693583,-2.05853642843926,0.285553961534815
"28196","DGRP-426","female",5,"28196","C10",1081132.16733333,1.33,470.052,186.274547619048,5803.97150953962,0.746534114622375,-0.191658520266195,0.200997815692392,-1.13060810996608,1.36503965057891
"25198","DGRP-555","female",5,"25198","C11",1072036.351,0.98,478.767333333333,151.036211538462,7097.87633098176,-0.955369163484856,0.134492639275731,0.103683832357617,1.35880140375692,-1.0906979935292
"25201","DGRP-712","female",5,"25201","C11",1103693.39933333,1.01,468.413333333333,182.648441860465,6042.72003687009,-0.809491739647094,-0.252981824033827,0.442375090078959,-0.671267634936858,1.11233860384092
"28135","DGRP-88","female",5,"28135","C11",1029357.30366667,1.22,450.888,174.5798,5896.19935219691,0.211650227217245,-0.90882682380728,-0.352929180563593,-0.953166257106056,0.550039989392804
"28196","DGRP-426","female",5,"28196","C11",1119323.13533333,1.38,496.725333333333,197.511375,5667.13251494165,0.989663154351979,0.806529186707937,0.609593931455242,-1.39387963454452,2.14812713622644
"25198","DGRP-555","female",5,"25198","C12",984109.677666667,1.02,451.285333333333,142.797872727273,6891.62701706489,-0.760865931701173,-0.893957544293254,-0.83702280791264,0.961987823843653,-1.66482268254083
"25201","DGRP-712","female",5,"25201","C12",1105600.08766667,1.17,485.380333333333,178.497340909091,6193.93029630481,-0.0314788125123598,0.381968844207748,0.462774296691712,-0.380346500575702,0.82305096984283
"28196","DGRP-426","female",5,"28196","C12",1058139.22066667,1.42,495.435666666667,198.9127,5319.61619678717,1.18416638613566,0.758266399426243,-0.0449982716008042,-2.06248401274255,2.2457846007066
