stock,genotype,sex,age,plate,well,ws,fw,trichomes,area,cell.area,cell.number
25198,DGRP-555,male,5,25198,A3,844055.33,0.81,61,7867.144,128.9695738,6544.6082
25201,DGRP-712,male,5,25201,A3,929176.4623,0.87,51,7852.779,153.9760588,6034.551536
28135,DGRP-88,male,5,28135,A3,790330.0227,0.76,52,7860.509,151.1636346,5228.307884
28173,DGRP-338,male,5,28173,A3,924177.5893,0.89,50,7996.956,159.93912,5778.30858
28191,DGRP-385,male,5,28191,A3,926716.7447,0.68,55,7845.061,142.6374727,6497.007602
28196,DGRP-426,male,5,28196,A3,856230.229,0.91,47,7929.388,168.710383,5075.148393
28197,DGRP-440,male,5,28197,A3,911581.21,0.85,51,7836.253,153.6520196,5932.764257
28247,DGRP-843,male,5,28247,A3,803453.8987,0.76,54,7916.015,146.5928704,5480.852491
28258,DGRP-892,male,5,28258,A3,871782.658,0.98,54,7830.756,145.014,6011.713752
29652,DGRP-57,male,5,29652,A3,784212.853,0.62,59,7853.883,133.116661,5891.169798
25180,DGRP-313,male,5,25180,A4,676654.2367,0.63,63,7847.265,124.5597619,5432.36617
25192,DGRP-399,male,5,25192,A4,924921.7607,0.75,55,7860.509,142.9183455,6471.679739
25198,DGRP-555,male,5,25198,A4,735643.8323,0.77,60,7867.144,131.1190667,5610.502355
25201,DGRP-712,male,5,25201,A4,902912.406,0.77,50,7847.265,156.9453,5753.038836
28173,DGRP-338,male,5,28173,A4,892210.261,0.83,52,7889.32,151.7176923,5880.726548
28180,DGRP-361,male,5,28180,A4,740611.0837,0.63,50,7885.861,157.71722,4695.816244
28191,DGRP-385,male,5,28191,A4,948640.8777,0.8,57,7845.061,137.6326491,6892.556989
28196,DGRP-426,male,5,28196,A4,897201.754,0.97,46,7956.508,172.9675652,5187.109808
28197,DGRP-440,male,5,28197,A4,862342.9563,0.89,50,7836.253,156.72506,5502.265919
28247,DGRP-843,male,5,28247,A4,784034.9533,0.76,54,7889.68,146.1051852,5366.236334
28248,DGRP-849,male,5,28248,A4,894232.469,0.93,57,7834.543,137.4481228,6505.963492
28258,DGRP-892,male,5,28258,A4,842595.32,0.86,54,7857.607,145.5112407,5790.58577
29652,DGRP-57,male,5,29652,A4,779735.5927,0.61,56,7853.883,140.2479107,5559.694891
25180,DGRP-313,male,5,25180,A5,675884.823,0.61,64,7847.265,122.6135156,5512.319091
25192,DGRP-399,male,5,25192,A5,956101.6637,0.81,53,7916.015,149.3587736,6401.375967
25198,DGRP-555,male,5,25198,A5,810802.0677,0.66,58,7867.144,135.6404138,5977.58474
25201,DGRP-712,male,5,25201,A5,905354.112,0.86,50,7847.265,156.9453,5768.596524
28135,DGRP-88,male,5,28135,A5,793094.9177,0.67,53,7860.509,148.3114906,5347.494753
28173,DGRP-338,male,5,28173,A5,863755.6867,0.85,54,7860.509,145.5649815,5933.81511
28191,DGRP-385,male,5,28191,A5,902006.042,0.78,55,7860.509,142.9183455,6311.338402
28196,DGRP-426,male,5,28196,A5,867018.7197,0.85,47,7849.739,167.0157234,5191.240094
28247,DGRP-843,male,5,28247,A5,795667.4627,0.95,51,7889.68,154.6996078,5143.306268
28248,DGRP-849,male,5,28248,A5,855315.9103,0.82,56,7860.509,140.3662321,6093.459212
28258,DGRP-892,male,5,28258,A5,859693.1957,0.9,52,7860.509,151.1636346,5687.16939
25192,DGRP-399,male,5,25192,A6,920282.6473,0.7,56,7889.68,140.8871429,6532.055578
25198,DGRP-555,male,5,25198,A6,865583.3263,0.7,60,7860.509,131.0084833,6607.078445
25201,DGRP-712,male,5,25201,A6,873930.5533,0.77,53,7847.265,148.0616038,5902.479313
28135,DGRP-88,male,5,28135,A6,666123.1863,0.59,54,7860.509,145.5649815,4576.122496
28196,DGRP-426,male,5,28196,A6,863518.494,0.93,48,7823.531,162.9902292,5297.977053
28197,DGRP-440,male,5,28197,A6,897371.6003,0.84,51,7810.121,153.1396275,5859.826194
28247,DGRP-843,male,5,28247,A6,805977.5083,0.81,52,7860.509,151.1636346,5331.821442
28248,DGRP-849,male,5,28248,A6,953489.3447,0.92,54,7887.711,146.0687222,6527.676358
28258,DGRP-892,male,5,28258,A6,864399.84,0.74,54,7857.607,145.5112407,5940.433437
29652,DGRP-57,male,5,29652,A6,766343.9447,0.59,57,7853.883,137.7874211,5561.784514
25180,DGRP-313,male,5,25180,A7,641826.26,0.65,65,7847.265,120.7271538,5316.337208
25190,DGRP-380,male,5,25190,A7,804134.9617,0.55,63,7814.3,124.0365079,6483.050636
25192,DGRP-399,male,5,25192,A7,877241.5263,0.65,54,7862.72,145.6059259,6024.765275
25198,DGRP-555,male,5,25198,A7,846673.7207,0.57,57,7867.144,138.0200702,6134.42465
25201,DGRP-712,male,5,25201,A7,877209.518,0.8,53,7847.265,148.0616038,5924.625262
28135,DGRP-88,male,5,28135,A7,730208.5523,0.69,52,7860.509,151.1636346,4830.583455
28191,DGRP-385,male,5,28191,A7,937576.2047,0.79,57,7871.961,138.1045789,6788.885726
28197,DGRP-440,male,5,28197,A7,913723.5837,0.88,52,7836.253,150.6971731,6063.309384
28247,DGRP-843,male,5,28247,A7,829210.0957,0.82,55,7889.68,143.4487273,5780.532957
28248,DGRP-849,male,5,28248,A7,930369.5317,0.93,54,7887.711,146.0687222,6369.395977
28258,DGRP-892,male,5,28258,A7,824857.162,0.88,53,7778.586,146.7657736,5620.228353
29652,DGRP-57,male,5,29652,A7,742724.378,0.61,59,7853.883,133.116661,5579.499759
25180,DGRP-313,male,5,25180,A8,667888.6677,0.66,61,7847.265,128.6436885,5191.771748
25198,DGRP-555,male,5,25198,A8,868126.0543,0.84,57,7867.144,138.0200702,6289.853738
28135,DGRP-88,male,5,28135,A8,768701.8563,0.81,55,7887.462,143.4084,5360.228943
28191,DGRP-385,male,5,28191,A8,935953.706,0.76,57,7871.961,138.1045789,6777.137392
28197,DGRP-440,male,5,28197,A8,924107.1853,0.96,50,7836.253,156.72506,5896.358791
28248,DGRP-849,male,5,28248,A8,916033.433,0.76,59,7887.711,133.6900169,6851.920988
29652,DGRP-57,male,5,29652,A8,804906.4777,0.58,59,7887.462,133.6857966,6020.882533
25180,DGRP-313,male,5,25180,A9,695294.5537,0.64,62,7847.265,126.5687903,5493.412332
25192,DGRP-399,male,5,25192,A9,914868.159,0.62,56,7862.72,140.4057143,6515.889782
25198,DGRP-555,male,5,25198,A9,852925.0907,0.82,57,7894.12,138.4933333,6158.600347
25201,DGRP-712,male,5,25201,A9,863474.9987,0.85,50,7847.265,156.9453,5501.75761
28135,DGRP-88,male,5,28135,A9,873855.3793,0.82,52,7860.509,151.1636346,5780.857159
28173,DGRP-338,male,5,28173,A9,880966.9233,0.92,52,7889.32,151.7176923,5806.619584
28180,DGRP-361,male,5,28180,A9,737393.811,0.64,51,7858.914,154.0963529,4785.277503
28191,DGRP-385,male,5,28191,A9,944902.05,0.72,58,7845.061,135.2596724,6985.837191
28196,DGRP-426,male,5,28196,A9,898695.7307,0.92,46,7849.739,170.6465,5266.417598
28197,DGRP-440,male,5,28197,A9,808855.105,0.79,54,7836.253,145.1157963,5573.859812
28258,DGRP-892,male,5,28258,A9,775984.3187,0.82,57,7860.509,137.9036667,5627.002801
28173,DGRP-338,male,5,28173,B1,907146.5247,0.87,51,7876.609,154.4433137,5873.653594
28180,DGRP-361,male,5,28180,B1,738279.6573,0.56,50,7858.914,157.17828,4697.084466
28197,DGRP-440,female,5,28197,B1,1187411.478,1.35,49,7857.195,160.3509184,7405.080622
28248,DGRP-849,female,5,28248,B1,1084972.699,1.54,51,7841.756,153.7599216,7056.277656
29652,DGRP-57,male,5,29652,B1,819115.1137,0.71,57,7887.462,138.3765263,5919.46579
25180,DGRP-313,female,5,25180,B10,874191.6743,1.07,52,7871.961,151.3838654,5774.668734
